Município,Microrregião,Estado
Itapuã do Oeste,Porto Velho,Rondônia
Candeias do Jamari,Porto Velho,Rondônia
Nova Mamoré,Porto Velho,Rondônia
Porto Velho,Porto Velho,Rondônia
Guajará-Mirim,Porto Velho,Rondônia
Monte Negro,Ariquemes,Rondônia
Cujubim,Ariquemes,Rondônia
Campo Novo de Rondônia,Ariquemes,Rondônia
Cacaulândia,Ariquemes,Rondônia
Buritis,Ariquemes,Rondônia
Alto Paraíso,Ariquemes,Rondônia
Rio Crespo,Ariquemes,Rondônia
Ariquemes,Ariquemes,Rondônia
Vale do Anari,Jaru,Rondônia
Theobroma,Jaru,Rondônia
Governador Jorge Teixeira,Jaru,Rondônia
Machadinho D'Oeste,Jaru,Rondônia
Jaru,Jaru,Rondônia
Vale do Paraíso,Ji-Paraná,Rondônia
Urupá,Ji-Paraná,Rondônia
Teixeirópolis,Ji-Paraná,Rondônia
Seringueiras,Ji-Paraná,Rondônia
São Francisco do Guaporé,Ji-Paraná,Rondônia
Nova União,Ji-Paraná,Rondônia
Mirante da Serra,Ji-Paraná,Rondônia
Alvorada D'Oeste,Ji-Paraná,Rondônia
São Miguel do Guaporé,Ji-Paraná,Rondônia
Presidente Médici,Ji-Paraná,Rondônia
Ouro Preto do Oeste,Ji-Paraná,Rondônia
Ji-Paraná,Ji-Paraná,Rondônia
Costa Marques,Ji-Paraná,Rondônia
São Felipe D'Oeste,Cacoal,Rondônia
Primavera de Rondônia,Cacoal,Rondônia
Parecis,Cacoal,Rondônia
Ministro Andreazza,Cacoal,Rondônia
Castanheiras,Cacoal,Rondônia
Novo Horizonte do Oeste,Cacoal,Rondônia
Alto Alegre dos Parecis,Cacoal,Rondônia
Santa Luzia D'Oeste,Cacoal,Rondônia
Rolim de Moura,Cacoal,Rondônia
Pimenta Bueno,Cacoal,Rondônia
Nova Brasilândia D'Oeste,Cacoal,Rondônia
Espigão D'Oeste,Cacoal,Rondônia
Cacoal,Cacoal,Rondônia
Alta Floresta D'Oeste,Cacoal,Rondônia
Pimenteiras do Oeste,Vilhena,Rondônia
Chupinguaia,Vilhena,Rondônia
Vilhena,Vilhena,Rondônia
Corumbiara,Vilhena,Rondônia
Colorado do Oeste,Vilhena,Rondônia
Cerejeiras,Vilhena,Rondônia
Cabixi,Vilhena,Rondônia
Porto Acre,Rio Branco,Acre
Senador Guiomard,Rio Branco,Acre
Rio Branco,Rio Branco,Acre
Plácido de Castro,Rio Branco,Acre
Capixaba,Rio Branco,Acre
Bujari,Rio Branco,Acre
Acrelândia,Rio Branco,Acre
Xapuri,Brasiléia,Acre
Epitaciolândia,Brasiléia,Acre
Brasiléia,Brasiléia,Acre
Assis Brasil,Brasiléia,Acre
Sena Madureira,Sena Madureira,Acre
Santa Rosa do Purus,Sena Madureira,Acre
Manoel Urbano,Sena Madureira,Acre
Rodrigues Alves,Cruzeiro do Sul,Acre
Porto Walter,Cruzeiro do Sul,Acre
Marechal Thaumaturgo,Cruzeiro do Sul,Acre
Mâncio Lima,Cruzeiro do Sul,Acre
Cruzeiro do Sul,Cruzeiro do Sul,Acre
Tarauacá,Tarauacá,Acre
Jordão,Tarauacá,Acre
Feijó,Tarauacá,Acre
Rio Preto da Eva,Manaus,Amazonas
Presidente Figueiredo,Manaus,Amazonas
Nova Olinda do Norte,Manaus,Amazonas
Manaus,Manaus,Amazonas
Manaquiri,Manaus,Amazonas
Iranduba,Manaus,Amazonas
Careiro da Várzea,Manaus,Amazonas
Careiro,Manaus,Amazonas
Borba,Manaus,Amazonas
Autazes,Manaus,Amazonas
São Gabriel da Cachoeira,São Gabriel da Cachoeira,Amazonas
Santa Isabel do Rio Negro,São Gabriel da Cachoeira,Amazonas
Barcelos,São Gabriel da Cachoeira,Amazonas
Codajás,Coari,Amazonas
Coari,Coari,Amazonas
Beruri,Coari,Amazonas
Anori,Coari,Amazonas
Novo Airão,Manacapuru,Amazonas
Manacapuru,Manacapuru,Amazonas
Caapiranga,Manacapuru,Amazonas
Anamã,Manacapuru,Amazonas
Uarini,Tefé,Amazonas
Tefé,Tefé,Amazonas
Maraã,Tefé,Amazonas
Jutaí,Tefé,Amazonas
Juruá,Tefé,Amazonas
Japurá,Tefé,Amazonas
Fonte Boa,Tefé,Amazonas
Carauari,Tefé,Amazonas
Alvarães,Tefé,Amazonas
Tonantins,Tabatinga,Amazonas
Tabatinga,Tabatinga,Amazonas
São Paulo de Olivença,Tabatinga,Amazonas
Santo Antônio do Içá,Tabatinga,Amazonas
Benjamin Constant,Tabatinga,Amazonas
Atalaia do Norte,Tabatinga,Amazonas
Amaturá,Tabatinga,Amazonas
Itamarati,Eirunepé,Amazonas
Ipixuna,Eirunepé,Amazonas
Guajará,Eirunepé,Amazonas
Envira,Eirunepé,Amazonas
Eirunepé,Eirunepé,Amazonas
Tapauá,Lábrea,Amazonas
Pauini,Lábrea,Amazonas
Lábrea,Lábrea,Amazonas
Canutama,Lábrea,Amazonas
Boca do Acre,Lábrea,Amazonas
Novo Aripuanã,Manicoré,Amazonas
Manicoré,Manicoré,Amazonas
Humaitá,Manicoré,Amazonas
Apuí,Manicoré,Amazonas
Parintins,Parintins,Amazonas
Nhamundá,Parintins,Amazonas
Maués,Parintins,Amazonas
Boa Vista do Ramos,Parintins,Amazonas
Barreirinha,Parintins,Amazonas
Urucurituba,Itacoatiara,Amazonas
Urucará,Itacoatiara,Amazonas
Silves,Itacoatiara,Amazonas
São Sebastião do Uatumã,Itacoatiara,Amazonas
Itapiranga,Itacoatiara,Amazonas
Itacoatiara,Itacoatiara,Amazonas
Mucajaí,Boa Vista,Roraima
Cantá,Boa Vista,Roraima
Bonfim,Boa Vista,Roraima
Boa Vista,Boa Vista,Roraima
Alto Alegre,Boa Vista,Roraima
Uiramutã,Pacaraima,Roraima
Pacaraima,Pacaraima,Roraima
Normandia,Pacaraima,Roraima
Amajari,Pacaraima,Roraima
São Luiz,Rorainópolis,Roraima
São João da Baliza,Rorainópolis,Roraima
Rorainópolis,Rorainópolis,Roraima
Caroebe,Rorainópolis,Roraima
Iracema,Caracaraí,Roraima
Caracaraí,Caracaraí,Roraima
Vigia,Belém,Pará
Tomé-Açu,Belém,Pará
São Caetano de Odivelas,Belém,Pará
Santo Antônio do Tauá,Belém,Pará
Santa Izabel do Pará,Belém,Pará
Santa Bárbara do Pará,Belém,Pará
Marituba,Belém,Pará
Concórdia do Pará,Belém,Pará
Colares,Belém,Pará
Bujaru,Belém,Pará
Benevides,Belém,Pará
Belém,Belém,Pará
Barcarena,Belém,Pará
Ananindeua,Belém,Pará
Acará,Belém,Pará
Oeiras do Pará,Cametá,Pará
Mocajuba,Cametá,Pará
Limoeiro do Ajuru,Cametá,Pará
Cametá,Cametá,Pará
Tailândia,Abaetetuba,Pará
Moju,Abaetetuba,Pará
Igarapé-Miri,Abaetetuba,Pará
Abaetetuba,Abaetetuba,Pará
Terra Alta,Castanhal,Pará
São Miguel do Guamá,Castanhal,Pará
São João da Ponta,Castanhal,Pará
São Francisco do Pará,Castanhal,Pará
São Domingos do Capim,Castanhal,Pará
Santa Maria do Pará,Castanhal,Pará
Marapanim,Castanhal,Pará
Maracanã,Castanhal,Pará
Magalhães Barata,Castanhal,Pará
Irituia,Castanhal,Pará
Inhangapi,Castanhal,Pará
Igarapé-Açu,Castanhal,Pará
Curuçá,Castanhal,Pará
Castanhal,Castanhal,Pará
Viseu,Bragança,Pará
Tracuateua,Bragança,Pará
Santa Luzia do Pará,Bragança,Pará
Cachoeira do Piriá,Bragança,Pará
Bragança,Bragança,Pará
Augusto Corrêa,Bragança,Pará
São João de Pirabas,Capanema,Pará
Santarém Novo,Capanema,Pará
Salinópolis,Capanema,Pará
Quatipuru,Capanema,Pará
Primavera,Capanema,Pará
Peixe-Boi,Capanema,Pará
Nova Timboteua,Capanema,Pará
Capanema,Capanema,Pará
Bonito,Capanema,Pará
Ulianópolis,Paragominas,Pará
Paragominas,Paragominas,Pará
Mãe do Rio,Paragominas,Pará
Ipixuna do Pará,Paragominas,Pará
Dom Eliseu,Paragominas,Pará
Aurora do Pará,Paragominas,Pará
Ourém,Capitão Poço,Pará
Nova Esperança do Piriá,Capitão Poço,Pará
Garrafão do Norte,Capitão Poço,Pará
Capitão Poço,Capitão Poço,Pará
São João do Araguaia,Marabá,Pará
São Geraldo do Araguaia,Marabá,Pará
São Domingos do Araguaia,Marabá,Pará
Rondon do Pará,Marabá,Pará
Piçarra,Marabá,Pará
Palestina do Pará,Marabá,Pará
Nova Ipixuna,Marabá,Pará
Marabá,Marabá,Pará
Jacundá,Marabá,Pará
Itupiranga,Marabá,Pará
Brejo Grande do Araguaia,Marabá,Pará
Bom Jesus do Tocantins,Marabá,Pará
Abel Figueiredo,Marabá,Pará
Parauapebas,Parauapebas,Pará
Eldorado do Carajás,Parauapebas,Pará
Curionópolis,Parauapebas,Pará
Canaã dos Carajás,Parauapebas,Pará
Tucuruí,Tucuruí,Pará
Pacajá,Tucuruí,Pará
Novo Repartimento,Tucuruí,Pará
Goianésia do Pará,Tucuruí,Pará
Breu Branco,Tucuruí,Pará
Baião,Tucuruí,Pará
Santana do Araguaia,Redenção,Pará
Santa Maria das Barreiras,Redenção,Pará
Redenção,Redenção,Pará
Pau D'Arco,Redenção,Pará
Floresta do Araguaia,Redenção,Pará
Cumaru do Norte,Redenção,Pará
Conceição do Araguaia,Redenção,Pará
Bannach,Redenção,Pará
Tucumã,Tucumã - São Félix do Xingu,Pará
São Félix do Xingu,Tucumã - São Félix do Xingu,Pará
Ourilândia do Norte,Tucumã - São Félix do Xingu,Pará
Xinguara,Xinguara,Pará
Sapucaia,Xinguara,Pará
Rio Maria,Xinguara,Pará
Água Azul do Norte,Xinguara,Pará
Santarém,Santarém,Pará
Prainha,Santarém,Pará
Monte Alegre,Santarém,Pará
Mojuí dos Campos,Santarém,Pará
Belterra,Santarém,Pará
Alenquer,Santarém,Pará
Trairão,Itaituba,Pará
Rurópolis,Itaituba,Pará
Placas,Itaituba,Pará
Novo Progresso,Itaituba,Pará
Jacareacanga,Itaituba,Pará
Itaituba,Itaituba,Pará
Aveiro,Itaituba,Pará
Terra Santa,Oriximiná,Pará
Oriximiná,Oriximiná,Pará
Óbidos,Oriximiná,Pará
Juruti,Oriximiná,Pará
Faro,Oriximiná,Pará
Curuá,Oriximiná,Pará
Vitória do Xingu,Altamira,Pará
Uruará,Altamira,Pará
Senador José Porfírio,Altamira,Pará
Medicilândia,Altamira,Pará
Brasil Novo,Altamira,Pará
Anapu,Altamira,Pará
Altamira,Altamira,Pará
Porto de Moz,Almeirim - Porto de Moz,Pará
Almeirim,Almeirim - Porto de Moz,Pará
São Sebastião da Boa Vista,Breves,Pará
Portel,Breves,Pará
Melgaço,Breves,Pará
Gurupá,Breves,Pará
Curralinho,Breves,Pará
Chaves,Breves,Pará
Breves,Breves,Pará
Bagre,Breves,Pará
Anajás,Breves,Pará
Afuá,Breves,Pará
Soure,Soure-Salvaterra,Pará
Santa Cruz do Arari,Soure-Salvaterra,Pará
Salvaterra,Soure-Salvaterra,Pará
Ponta de Pedras,Soure-Salvaterra,Pará
Muaná,Soure-Salvaterra,Pará
Cachoeira do Arari,Soure-Salvaterra,Pará
Santana,Macapá,Amapá
Mazagão,Macapá,Amapá
Macapá,Macapá,Amapá
Itaubal,Macapá,Amapá
Vitória do Jari,Laranjal do Jari,Amapá
Laranjal do Jari,Laranjal do Jari,Amapá
Tartarugalzinho,Oiapoque,Amapá
Pracuúba,Oiapoque,Amapá
Oiapoque,Oiapoque,Amapá
Cutias,Oiapoque,Amapá
Calçoene,Oiapoque,Amapá
Amapá,Oiapoque,Amapá
Porto Grande,Porto Grande,Amapá
Ferreira Gomes,Porto Grande,Amapá
Pedra Branca do Amapari,Porto Grande,Amapá
Serra do Navio,Porto Grande,Amapá
Palmas,Palmas,Tocantins
São Félix do Tocantins,Palmas,Tocantins
Santa Tereza do Tocantins,Palmas,Tocantins
Rio Sono,Palmas,Tocantins
Novo Acordo,Palmas,Tocantins
Mateiros,Palmas,Tocantins
Lizarda,Palmas,Tocantins
Lajeado,Palmas,Tocantins
Lagoa do Tocantins,Palmas,Tocantins
Aparecida do Rio Negro,Palmas,Tocantins
Silvanópolis,Porto Nacional,Tocantins
Santa Rosa do Tocantins,Porto Nacional,Tocantins
Santa Rita do Tocantins,Porto Nacional,Tocantins
Porto Nacional,Porto Nacional,Tocantins
Ponte Alta do Tocantins,Porto Nacional,Tocantins
Pindorama do Tocantins,Porto Nacional,Tocantins
Oliveira de Fátima,Porto Nacional,Tocantins
Natividade,Porto Nacional,Tocantins
Monte do Carmo,Porto Nacional,Tocantins
Ipueiras,Porto Nacional,Tocantins
Fátima,Porto Nacional,Tocantins
Chapada da Natividade,Porto Nacional,Tocantins
Brejinho de Nazaré,Porto Nacional,Tocantins
Pugmil,Paraíso do Tocantins,Tocantins
Pium,Paraíso do Tocantins,Tocantins
Paraíso do Tocantins,Paraíso do Tocantins,Tocantins
Nova Rosalândia,Paraíso do Tocantins,Tocantins
Monte Santo do Tocantins,Paraíso do Tocantins,Tocantins
Marianópolis do Tocantins,Paraíso do Tocantins,Tocantins
Lagoa da Confusão,Paraíso do Tocantins,Tocantins
Divinópolis do Tocantins,Paraíso do Tocantins,Tocantins
Cristalândia,Paraíso do Tocantins,Tocantins
Chapada de Areia,Paraíso do Tocantins,Tocantins
Caseara,Paraíso do Tocantins,Tocantins
Barrolândia,Paraíso do Tocantins,Tocantins
Araguacema,Paraíso do Tocantins,Tocantins
Abreulândia,Paraíso do Tocantins,Tocantins
Tocantínia,Miracema do Tocantins,Tocantins
Rio dos Bois,Miracema do Tocantins,Tocantins
Miranorte,Miracema do Tocantins,Tocantins
Miracema do Tocantins,Miracema do Tocantins,Tocantins
Dois Irmãos do Tocantins,Miracema do Tocantins,Tocantins
Xambioá,Araguaína,Tocantins
Wanderlândia,Araguaína,Tocantins
Santa Fé do Araguaia,Araguaína,Tocantins
Riachinho,Araguaína,Tocantins
Piraquê,Araguaína,Tocantins
Pau D'Arco,Araguaína,Tocantins
Nova Olinda,Araguaína,Tocantins
Muricilândia,Araguaína,Tocantins
Goiatins,Araguaína,Tocantins
Filadélfia,Araguaína,Tocantins
Darcinópolis,Araguaína,Tocantins
Carmolândia,Araguaína,Tocantins
Campos Lindos,Araguaína,Tocantins
Barra do Ouro,Araguaína,Tocantins
Babaçulândia,Araguaína,Tocantins
Arapoema,Araguaína,Tocantins
Araguanã,Araguaína,Tocantins
Araguaína,Araguaína,Tocantins
Aragominas,Araguaína,Tocantins
Angico,Araguaína,Tocantins
Ananás,Araguaína,Tocantins
Tupirama,Guaraí,Tocantins
Santa Maria do Tocantins,Guaraí,Tocantins
Recursolândia,Guaraí,Tocantins
Presidente Kennedy,Guaraí,Tocantins
Colméia,Guaraí,Tocantins
